"Line item #","Qty","Designator","Value","MFN","MFP","D1","D1PN","D1PL","D2","D2PN","D2PL"
34,4,"C61;C74;C82;C102","22u","TDK","C2012X5R0J226K125AB","digikey","445-7679","http://www.digikey.com/product-detail/en/C2012X5R0J226K125AB/445-7679-1-ND/2733751","mouser","_","_"
35,3,"C2;C47;C67","10u","TDK","C1608X5R1A106K080AC","digikey","445-7486","http://www.digikey.com/product-detail/en/C1608X5R1A106K080AC/445-7486-1-ND/2733558","mouser","_","_"
36,1,"C126","4.7n","TDK","C1005X7S2A472K050BB","digikey","445-6026","http://www.digikey.com/product-detail/en/C1005X7S2A472K050BB/445-6026-1-ND/2444067","mouser","_","_"
37,1,"C160","10n","TDK","C1005X7R1C103K050BA","digikey","445-1262","http://www.digikey.com/product-detail/en/C1005X7R1C103K050BA/445-1262-1-ND/567728","mouser","_","_"
38,28,"C5;C8;C10;C14;C19;C22;C25;C27;C30;C31;C34;C39;C106;C107;C109;C110;C113;C114;C127;C129;C132;C133;C141;C142;C143;C145;C152;C154","4.7u","TDK","C1005X5R0J475K050BC","digikey","445-5947","http://www.digikey.com/product-detail/en/C1005X5R0J475K050BC/445-5947-1-ND/2443987","avnet","810-C1005X5R0J475K","http://www.mouser.fr/ProductDetail/TDK/C1005X5R0J475K050BC/?qs=NRhsANhppD%2frOmlfBttPRA%3d%3d"
39,1,"C90","2.2u","TDK","C1005X5R0J225K050BC","digikey","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","mouser","_","_"
40,13,"C1;C3;C6;C9;C11;C12;C15;C16;C44;C48;C66;C68;C125","100n","TDK","C1005X5R0J104K050BA","digikey","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","mouser","_","_"
41,2,"C43;C57","15p","TDK","C1005CH1H150J050BA","digikey","445-10834","http://www.digikey.com/product-detail/en/C1005CH1H150J050BA/445-10834-1-ND/3952500","mouser","_","_"
42,1,"C55","3.3n","TDK","C0603X5R1E332K030BA","digikey","445-4699","http://www.digikey.com/product-detail/en/C0603X5R1E332K030BA/445-4699-1-ND/2050305","mouser","_","_"
43,6,"C37;C41;C45;C49;C51;C53","2.2n","TDK","C0603X5R1E101K030BA","digikey","445-4683","http://www.digikey.com/product-detail/en/C0603X5R1E101K030BA/445-4683-1-ND/2050289","mouser","_","_"
44,1,"C59","4.7n","TDK","C0603X5R1C472K030BA","digikey","445-1792","http://www.digikey.com/product-detail/en/C0603X5R1C472K030BA/445-1792-1-ND/701156","mouser","_","_"
45,15,"C26;C38;C42;C62;C63;C91;C92;C94;C95;C96;C97;C98;C99;C100;C101","10n","TDK","C0603X5R1A103K030BA","digikey","445-1793","http://www.digikey.com/product-detail/en/C0603X5R1A103K030BA/445-1793-1-ND/701157","mouser","_","_"
46,36,"C54;C56;C60;C111;C112;C115;C116;C117;C119;C120;C121;C122;C123;C124;C128;C130;C134;C135;C136;C137;C138;C139;C140;C144;C146;C147;C149;C150;C151;C153;C155;C156;C157;C158;C159;C161","470n","TDK","C0603X5R0J474K030BC","digikey","445-13653","http://www.digikey.com/product-detail/en/C0603X5R0J474K030BC/445-13653-1-ND/3955319","mouser","_","_"
47,8,"C13;C17;C18;C21;C28;C32;C36;C40","1u","TDK","C1005X5R0J105K050BB","digikey","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","mouser","_","_"
48,21,"C46;C50;C52;C71;C72;C73;C75;C76;C77;C78;C79;C80;C81;C83;C84;C85;C86;C87;C88;C89;C93","100n","TDK","C0603X5R0J104K030BC","digikey","445-1796","http://www.digikey.com/product-detail/en/C0603X5R0J104K030BC/445-1796-1-ND/701160","mouser","_","_"
49,2,"FB5;FB6","600","Taiyo Yuden","BK0603TM601","digikey","587-3273","http://www.digikey.com/product-detail/en/BK0603TM601-T/587-3273-1-ND/4157920","mouser","_","_"
50,1,"D2","RED","Kingbright","APT1608SURCK","digikey","754-1123","http://www.digikey.com/product-detail/en/APT1608SURCK/754-1123-1-ND/1747840","mouser","_","_"
51,1,"D1","GREEN","Kingbright","APT1608CGCK","digikey","754-1116","http://www.digikey.com/product-detail/en/APT1608CGCK/754-1116-1-ND/1747833","mouser","_","_"
52,1,"C103","330u","Taiyo Yuden","AMK325ABJ337MM-T","digikey","587-3977","http://www.digikey.com/product-detail/en/AMK325ABJ337MM-T/587-3977-1-ND/4950531","mouser","_","_"
53,1,"U5","8y-19.200MAAE","TXC","8Y-19.200MAAE-T","digikey","887-2388","http://www.digikey.com/product-detail/en/8Y-19.200MAAE-T/887-2388-1-ND/4475406","mouser","_","_"
54,1,"U12","24LC128T-I/MNY","Microchip","24LC128T-I/MNY","digikey","24LC128T-I/MNY","http://www.digikey.com/product-detail/en/24LC128T-I%2FMNY/24LC128T-I%2FMNYCT-ND/2385857","mouser","_","_"
55,1,"U11","OSCILLATOR","Abracon"," ASDMB-100.000MHZ-XY-T ","digikey","535-11147","http://www.digikey.com/product-detail/en/ASDMB-100.000MHZ-XY-T/535-11147-2-ND/2623808","mouser","_","_"
56,2,"C23;C58","1u","TDK","C0603X5R0J105M030BC","digikey","445-8008","http://www.digikey.com/product-detail/en/C0603X5R0J105M030BC/445-8008-1-ND/2792131","mouser","_","_"
